organims,gene
">gi|c001|ALBU_BOVIN
",ALBU
">gi|c002|AMYS_HUMAN
",AMYS
">gi|c003|CAS1_BOVIN
",CAS1
">gi|c004|CAS2_BOVIN
",CAS2
">gi|c005|CASB_BOVIN
",CASB
">gi|c006|CASK_BOVIN
",CASK
">gi|c007|CTRA_BOVIN
",CTRA
">gi|c008|CTRB_BOVIN
",CTRB
">gi|c009|K1C10_HUMAN
",K1C10
">gi|c010|K1C15_SHEEP
",K1C15
">gi|c011|K1C9_HUMAN
",K1C9
">gi|c012|K1H1_HUMAN
",K1H1
">gi|c013|K1H2_HUMAN
",K1H2
">gi|c014|K1H4_HUMAN
",K1H4
">gi|c015|K1H5_HUMAN
",K1H5
">gi|c016|K1H6_HUMAN
",K1H6
">gi|c017|K1H7_HUMAN
",K1H7
">gi|c018|K1H8_HUMAN
",K1H8
">gi|c019|K1HA_HUMAN
",K1HA
">gi|c020|K1HB_HUMAN
",K1HB
">gi|c021|K1M1_SHEEP
",K1M1
">gi|c022|K1M2_SHEEP
",K1M2
">gi|c023|K22E_HUMAN
",K22E
">gi|c024|K2C1_HUMAN
",K2C1
">gi|c025|K2M1_SHEEP
",K2M1
">gi|c026|K2M2_SHEEP
",K2M2
">gi|c027|K2M3_SHEEP
",K2M3
">gi|c028|KRA33_SHEEP
",KRA33
">gi|c029|KRA34_SHEEP
",KRA34
">gi|c030|KRA3A_SHEEP
",KRA3A
">gi|c031|KRA3_SHEEP
",KRA3
">gi|c032|KRA61_SHEEP
",KRA61
">gi|c033|KRB2A_SHEEP
",KRB2A
">gi|c034|KRB2B_SHEEP
",KRB2B
">gi|c035|KRB2C_SHEEP
",KRB2C
">gi|c036|KRB2D_SHEEP
",KRB2D
">gi|c037|KRHB1_HUMAN
",KRHB1
">gi|c038|KRHB2_HUMAN
",KRHB2
">gi|c039|KRHB3_HUMAN
",KRHB3
">gi|c040|KRHB4_HUMAN
",KRHB4
">gi|c041|KRHB5_HUMAN
",KRHB5
">gi|c042|KRHB6_HUMAN
",KRHB6
">gi|c043|KRUC_SHEEP
",KRUC
">gi|c044|LALBA_BOVIN
",LALBA
">gi|c045|LYSC_LYSEN
",LYSC
">gi|c046|PEPA_BOVIN
",PEPA
">gi|c047|PEPA_PIG
",PEPA
">gi|c048|PEPB_PIG
",PEPB
">gi|c049|PEPC_PIG
",PEPC
">gi|c050|SSPA_STAAU
",SSPA
">gi|c051|TRY1_BOVIN
",TRY1
">gi|c052|TRY2_BOVIN
",TRY2
">gi|c053|TRYP_PIG
",TRYP
">gi|c054|ALBU_HUMAN
",ALBU
">gi|c055|ANT3_HUMAN
",ANT3
">gi|c056|ANXA5_HUMAN
",ANXA5
">gi|c057|B2MG_HUMAN
",B2MG
">gi|c058|BID_HUMAN
",BID
">gi|c059|CAH1_HUMAN
",CAH1
">gi|c060|CAH2_HUMAN
",CAH2
">gi|c061|CATA_HUMAN
",CATA
">gi|c062|CATD_HUMAN
",CATD
">gi|c063|CATG_HUMAN
",CATG
">gi|c064|CO5_HUMAN
",CO5
">gi|c065|CRP_HUMAN
",CRP
">gi|c066|CYB5_HUMAN
",CYB5
">gi|c067|CYC_HUMAN
",CYC
">gi|c068|EGF_HUMAN
",EGF
">gi|c069|FABPH_HUMAN
",FABPH
">gi|c070|GELS_HUMAN
",GELS
">gi|c071|GSTA1_HUMAN
",GSTA1
">gi|c072|GSTP1_HUMAN
",GSTP1
">gi|c073|HBA_HUMAN
",HBA
">gi|c074|HBB_HUMAN
",HBB
">gi|c075|IGF2_HUMAN
",IGF2
">gi|c076|IL8_HUMAN
",IL8
">gi|c077|KCRM_HUMAN
",KCRM
">gi|c078|LALBA_HUMAN
",LALBA
">gi|c079|LEP_HUMAN
",LEP
">gi|c080|LYSC_HUMAN
",LYSC
">gi|c081|MYG_HUMAN
",MYG
">gi|c082|NEDD8_HUMAN
",NEDD8
">gi|c083|NQO1_HUMAN
",NQO1
">gi|c084|NQO2_HUMAN
",NQO2
">gi|c085|PDGFB_HUMAN
",PDGFB
">gi|c086|PPIA_HUMAN
",PPIA
">gi|c087|PRDX1_HUMAN
",PRDX1
">gi|c088|RASH_HUMAN
",RASH
">gi|c089|RETBP_HUMAN
",RETBP
">gi|c090|SODC_HUMAN
",SODC
">gi|c091|SUMO1_HUMAN
",SUMO1
">gi|c092|SYH_HUMAN
",SYH
">gi|c093|TAU_HUMAN
",TAU
">gi|c094|THIO_HUMAN
",THIO
">gi|c095|TNFA_HUMAN
",TNFA
">gi|c096|TRFE_HUMAN
",TRFE
">gi|c097|TRFL_HUMAN
",TRFL
">gi|c098|UB2E1_HUMAN
",UB2E1
">gi|c099|UBE2C_HUMAN
",UBE2C
">gi|c100|UBE2I_HUMAN
",UBE2I
">gi|c101|RS27A_HUMAN
",RS27A
">gi|c102|GAG_SCVLA
",GAG
">gi|c103|CYC_HORSE
",CYC
">gi|c104|CAH2_BOVIN
",CAH2
">gi|c105|ADH1_YEAST
",ADH1
">gi|c106|ALDOA_RABIT
",ALDOA
">gi|c107|LYSC_CHICK
",LYSC
">gi|c108|MYG_HORSE
",MYG
">gi|c109|OVAL_CHICK
",OVAL
">gi|c110|BGAL_ECOLI
",BGAL
">gi|c111|DHE3_BOVIN
",DHE3
">gi|c112|GFP_AEQVI
",GFP
">gi|c113|SRPP_HEVBR
",SRPP
">gi|c114|REF_HEVBR
",REF
">gi|c115|PLMP_GRIFR
",PLMP
">gi|c116|BOVINE_CATALASE
",BOVINE
